Age,Cluster,District,Female_15_29,Female_30,Gendered_HH_Type,KFP_Comp_Feed,KFP_Comp_Feed_2,KFP_criticalhandwashing,KFP_Dietary_Diversity,KFP_Exclusive,KFP_Initiation,KFP_minmeal,Men_15_29,Men_30,Participate_CareGroup,Participate_CashTransfer,Participate_Disaster,Participate_FFB,Participate_GenderedClimate,Participate_IGA,Participate_Natural,Participate_PTS,Participate_ResilienceDesign,Participate_SAADialoguesGender,Participate_SuppFeeding,Participate_TVET,Participate_VillageSavings,Participate_WASH,Sex,Village,Ward,Frame1_3,Frame3,program,KFP_contbf,KFP_micronutrient,KFP_TimelyImmun,Participate_AgrLoan,Participate_CommSupp,Participate_DykeCon,Participate_Irrigation,Participate_Livestock,Participate_Marketing,Participate_Meg,Participate_Radio,Participate_TVET_formal,Participate_TVET_informal,Participate_WaterManage,Participate_YouthGroup,source_caregroup,source_cluster,source_healthfacil,source_interpersonal,source_other,source_promoter,source_radio,source_socialmedia,source_tfd,source_training,frame_c06,KFP_sum,interventions,frame
37,IPILU,MANGOCHI,1,1,Adult Male and Adult Female (M&F),NA,0,NA,0,0,0,NA,0,1,0,0,1,NA,NA,NA,0,NA,NA,0,NA,NA,0,0,Female,IPILU,CHILIPA,NA,NA,TITUKULANE,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,2,1,2,2,2,2,2,2,2,Health and Nutrition,0,6,1
21,IPILU,MANGOCHI,1,0,Adult Female no Adult Male (FnM),NA,0,NA,0,0,0,NA,0,0,0,0,1,NA,NA,NA,1,NA,NA,0,NA,NA,0,0,Female,IPILU,CHILIPA,NA,NA,TITUKULANE,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,2,2,2,2,Health and Nutrition,0,13,1
45,IPILU,MANGOCHI,1,1,Adult Male and Adult Female (M&F),NA,0,NA,0,0,0,NA,1,1,1,0,1,NA,NA,NA,0,NA,NA,0,NA,NA,0,0,Female,IPILU,CHILIPA,NA,NA,TITUKULANE,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,2,1,Health and Nutrition,0,13,1
28,IPILU,MANGOCHI,1,0,Adult Male and Adult Female (M&F),NA,0,NA,0,0,0,NA,0,1,0,1,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,1,Female,IPIRA,CHILIPA,NA,NA,TITUKULANE,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,Health and Nutrition,0,12,1
42,IPILU,MANGOCHI,1,1,Adult Female no Adult Male (FnM),NA,0,NA,0,0,0,NA,1,0,0,1,0,NA,NA,NA,0,NA,NA,1,NA,NA,0,0,Female,AIRONI,CHILIPA,NA,NA,TITUKULANE,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,Health and Nutrition,0,10,1
21,KUMBWANI,ZOMBA,1,0,Adult Male and Adult Female (M&F),NA,0,NA,0,0,0,NA,1,0,0,1,1,NA,NA,NA,0,NA,NA,1,NA,NA,0,1,Female,MTEHE,KUNTUMANJI,NA,NA,TITUKULANE,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,2,2,Health and Nutrition,0,15,1
21,KUMBWANI,ZOMBA,1,0,Adult Male and Adult Female (M&F),NA,0,NA,0,0,0,NA,1,0,0,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,0,0,Female,MTEHE,KUNTUMANJI,NA,NA,TITUKULANE,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,2,2,2,Health and Nutrition,0,16,1
22,NAMADINGO,ZOMBA,1,0,Adult Male and Adult Female (M&F),NA,0,NA,0,0,0,NA,1,0,0,1,0,NA,NA,NA,1,NA,NA,0,NA,NA,1,0,Female,NKUKUMIRA,KUNTUMANJI,NA,NA,TITUKULANE,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,2,2,1,2,2,2,2,Health and Nutrition,0,14,1
31,NAMADINGO,ZOMBA,1,0,Adult Female no Adult Male (FnM),NA,0,NA,0,0,0,NA,0,1,0,1,1,NA,NA,NA,1,NA,NA,0,NA,NA,1,0,Female,NKUKUMIRA,KUNTUMANJI,NA,NA,TITUKULANE,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,2,2,2,Health and Nutrition,0,16,1
21,NAMADINGO,ZOMBA,1,0,Adult Male and Adult Female (M&F),NA,0,NA,0,0,0,NA,0,1,0,0,0,NA,NA,NA,0,NA,NA,1,NA,NA,1,0,Female,NKUKUMIRA,KUNTUMANJI,NA,NA,TITUKULANE,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,2,2,2,2,2,Health and Nutrition,0,12,1
28,KUMBWANI,ZOMBA,1,0,Adult Male and Adult Female (M&F),NA,0,NA,0,0,0,NA,0,1,0,0,1,NA,NA,NA,1,NA,NA,0,NA,NA,0,0,Female,MTEHE,KUNTUMANJI,NA,NA,TITUKULANE,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,Health and Nutrition,0,13,1
35,KUMBWANI,ZOMBA,3,1,Adult Female no Adult Male (FnM),NA,0,NA,0,0,0,NA,0,0,0,1,1,NA,NA,NA,0,NA,NA,1,NA,NA,1,1,Female,MTEHE,KUNTUMANJI,NA,NA,TITUKULANE,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,2,2,2,Health and Nutrition,0,17,1
35,KUMBWANI,ZOMBA,1,1,Adult Male and Adult Female (M&F),NA,0,NA,0,0,0,NA,1,1,0,1,1,NA,NA,NA,0,NA,NA,1,NA,NA,1,0,Female,MTEHE,KUNTUMANJI,NA,NA,TITUKULANE,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,2,1,1,2,2,1,2,2,2,Health and Nutrition,0,14,1
31,KUMBWANI,ZOMBA,1,1,Adult Male and Adult Female (M&F),NA,0,NA,0,0,0,NA,1,0,0,0,1,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,Female,MTEHE,KUNTUMANJI,NA,NA,TITUKULANE,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,Health and Nutrition,0,17,1
48,NAMADINGO,ZOMBA,0,1,Adult Male and Adult Female (M&F),NA,0,NA,0,0,0,NA,0,1,0,0,1,NA,NA,NA,1,NA,NA,0,NA,NA,1,0,Female,MISI,KUNTUMANJI,NA,NA,TITUKULANE,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,2,1,2,2,2,2,2,2,Health and Nutrition,0,13,1
